## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --SORTING_COLLECTION_SIZE_RATIO 0.8 --INPUT /tmp/itamburi/36400634/n84_sorted.bam --OUTPUT /tmp/itamburi/36400634/n84_dd.bam --METRICS_FILE /tmp/itamburi/36400634/n84_mrkdp_met.txt --REMOVE_DUPLICATES true --ASSUME_SORTED true --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 0 --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 11 10:51:43 PDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	20866672	1700140	0	0	11953029	1324414	0.572829	10583726

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
378.0	0	5	0	5
379.0	0	2	0	2
380.0	0	10	0	5
381.0	0	2	0	5
382.0	0	5	0	6
383.0	0	6	0	3
384.0	0	4	0	3
385.0	0	4	0	2
386.0	0	6	0	2
387.0	0	5	0	2
388.0	0	3	0	3
389.0	0	2	0	3
390.0	0	4	0	1
391.0	0	4	0	1
392.0	0	5	0	4
393.0	0	3	0	6
394.0	0	3	0	0
395.0	0	6	0	2
396.0	0	2	0	4
397.0	0	5	0	0
398.0	0	2	0	5
399.0	0	1	0	2
400.0	0	4	0	2
401.0	0	3	0	1
402.0	0	3	0	4
403.0	0	2	0	1
404.0	0	6	0	1
405.0	0	3	0	6
406.0	0	5	0	3
407.0	0	4	0	6
408.0	0	1	0	1
409.0	0	3	0	2
410.0	0	1	0	3
411.0	0	0	0	4
412.0	0	2	0	2
413.0	0	2	0	4
414.0	0	5	0	4
415.0	0	2	0	4
416.0	0	1	0	1
417.0	0	2	0	3
418.0	0	3	0	1
419.0	0	3	0	2
420.0	0	1	0	3
421.0	0	2	0	2
422.0	0	2	0	3
423.0	0	1	0	2
424.0	0	6	0	3
425.0	0	3	0	2
426.0	0	1	0	2
427.0	0	3	0	4
428.0	0	5	0	2
429.0	0	2	0	4
430.0	0	0	0	4
431.0	0	5	0	0
432.0	0	3	0	3
433.0	0	3	0	2
434.0	0	3	0	3
435.0	0	5	0	3
436.0	0	4	0	3
437.0	0	3	0	4
439.0	0	2	0	2
440.0	0	4	0	2
441.0	0	0	0	1
442.0	0	0	0	1
443.0	0	5	0	4
444.0	0	5	0	1
445.0	0	4	0	1
446.0	0	4	0	2
447.0	0	1	0	0
448.0	0	1	0	2
449.0	0	1	0	0
450.0	0	3	0	0
451.0	0	2	0	1
452.0	0	1	0	0
453.0	0	1	0	3
454.0	0	2	0	4
455.0	0	3	0	2
456.0	0	3	0	1
457.0	0	3	0	2
458.0	0	2	0	1
459.0	0	3	0	1
460.0	0	3	0	4
461.0	0	1	0	2
462.0	0	1	0	3
463.0	0	2	0	1
464.0	0	2	0	2
465.0	0	3	0	1
466.0	0	0	0	3
467.0	0	4	0	3
469.0	0	4	0	1
470.0	0	4	0	4
471.0	0	2	0	0
472.0	0	1	0	5
473.0	0	2	0	1
474.0	0	2	0	1
475.0	0	1	0	1
476.0	0	1	0	1
477.0	0	3	0	4
478.0	0	1	0	1
479.0	0	2	0	2
480.0	0	1	0	0
481.0	0	1	0	1
482.0	0	3	0	3
483.0	0	2	0	1
484.0	0	1	0	2
485.0	0	4	0	5
487.0	0	2	0	2
488.0	0	2	0	0
489.0	0	1	0	3
490.0	0	2	0	1
491.0	0	3	0	2
492.0	0	2	0	0
493.0	0	2	0	1
494.0	0	2	0	1
495.0	0	3	0	2
496.0	0	1	0	1
497.0	0	0	0	2
498.0	0	1	0	2
499.0	0	1	0	2
500.0	0	1	0	0
501.0	0	3	0	1
502.0	0	2	0	2
503.0	0	2	0	0
504.0	0	1	0	0
505.0	0	1	0	2
506.0	0	2	0	2
507.0	0	1	0	1
508.0	0	3	0	2
509.0	0	3	0	1
510.0	0	1	0	3
512.0	0	1	0	1
513.0	0	2	0	2
514.0	0	1	0	2
515.0	0	3	0	0
516.0	0	5	0	2
517.0	0	2	0	0
518.0	0	2	0	1
519.0	0	0	0	3
520.0	0	2	0	1
521.0	0	0	0	3
522.0	0	3	0	0
523.0	0	0	0	1
524.0	0	0	0	1
525.0	0	0	0	1
526.0	0	2	0	0
527.0	0	0	0	1
528.0	0	2	0	1
529.0	0	1	0	1
531.0	0	1	0	1
532.0	0	3	0	1
534.0	0	0	0	3
535.0	0	2	0	3
536.0	0	4	0	3
537.0	0	1	0	0
538.0	0	2	0	2
539.0	0	1	0	0
540.0	0	0	0	3
541.0	0	4	0	1
542.0	0	1	0	0
543.0	0	2	0	1
544.0	0	1	0	1
545.0	0	2	0	1
546.0	0	2	0	0
547.0	0	0	0	1
548.0	0	2	0	1
549.0	0	1	0	1
551.0	0	0	0	2
552.0	0	0	0	1
553.0	0	0	0	1
554.0	0	4	0	0
555.0	0	1	0	0
556.0	0	0	0	2
557.0	0	1	0	1
558.0	0	1	0	1
559.0	0	1	0	2
560.0	0	4	0	2
561.0	0	2	0	0
562.0	0	1	0	1
563.0	0	1	0	0
565.0	0	1	0	1
566.0	0	1	0	0
567.0	0	1	0	2
568.0	0	0	0	1
569.0	0	3	0	1
571.0	0	3	0	0
572.0	0	1	0	1
573.0	0	1	0	1
574.0	0	1	0	2
575.0	0	1	0	0
577.0	0	1	0	0
579.0	0	2	0	0
580.0	0	1	0	1
581.0	0	2	0	1
582.0	0	1	0	3
583.0	0	0	0	1
584.0	0	1	0	0
585.0	0	1	0	1
586.0	0	1	0	1
587.0	0	1	0	1
588.0	0	1	0	0
591.0	0	1	0	0
592.0	0	1	0	1
594.0	0	0	0	2
595.0	0	0	0	3
596.0	0	1	0	0
597.0	0	0	0	1
598.0	0	1	0	1
599.0	0	2	0	1
600.0	0	1	0	0
601.0	0	1	0	1
602.0	0	1	0	2
603.0	0	2	0	1
604.0	0	0	0	1
605.0	0	3	0	1
607.0	0	0	0	1
608.0	0	1	0	2
610.0	0	0	0	1
611.0	0	2	0	1
613.0	0	2	0	2
617.0	0	0	0	1
618.0	0	2	0	1
619.0	0	1	0	1
620.0	0	2	0	3
621.0	0	1	0	0
622.0	0	0	0	2
623.0	0	1	0	0
624.0	0	0	0	1
626.0	0	0	0	2
627.0	0	1	0	0
628.0	0	0	0	1
629.0	0	1	0	1
631.0	0	0	0	1
632.0	0	2	0	0
633.0	0	1	0	0
634.0	0	0	0	1
635.0	0	3	0	1
636.0	0	1	0	3
637.0	0	0	0	1
638.0	0	1	0	1
639.0	0	0	0	1
640.0	0	1	0	0
641.0	0	0	0	1
642.0	0	0	0	1
643.0	0	1	0	1
644.0	0	1	0	0
645.0	0	0	0	1
646.0	0	2	0	0
649.0	0	1	0	2
650.0	0	1	0	1
651.0	0	0	0	2
652.0	0	0	0	1
653.0	0	1	0	1
654.0	0	0	0	1
656.0	0	1	0	1
657.0	0	2	0	0
658.0	0	2	0	1
659.0	0	1	0	1
660.0	0	1	0	0
662.0	0	1	0	0
663.0	0	1	0	0
665.0	0	3	0	0
667.0	0	1	0	0
668.0	0	1	0	0
669.0	0	1	0	0
670.0	0	1	0	2
671.0	0	1	0	0
673.0	0	2	0	0
674.0	0	1	0	1
676.0	0	3	0	1
677.0	0	2	0	1
678.0	0	1	0	0
679.0	0	0	0	1
680.0	0	1	0	0
681.0	0	2	0	0
684.0	0	2	0	0
685.0	0	1	0	0
686.0	0	2	0	1
687.0	0	1	0	0
689.0	0	1	0	1
691.0	0	0	0	1
692.0	0	1	0	0
693.0	0	0	0	2
694.0	0	1	0	0
695.0	0	1	0	1
696.0	0	1	0	1
697.0	0	1	0	0
703.0	0	1	0	0
707.0	0	1	0	0
708.0	0	1	0	0
710.0	0	0	0	1
713.0	0	1	0	0
717.0	0	0	0	1
719.0	0	1	0	0
721.0	0	0	0	1
723.0	0	0	0	2
726.0	0	0	0	2
727.0	0	2	0	1
728.0	0	0	0	1
729.0	0	0	0	1
730.0	0	0	0	1
732.0	0	0	0	2
735.0	0	0	0	1
737.0	0	0	0	1
740.0	0	0	0	3
742.0	0	1	0	1
743.0	0	0	0	1
744.0	0	1	0	1
752.0	0	1	0	0
753.0	0	2	0	0
757.0	0	1	0	1
759.0	0	1	0	1
761.0	0	2	0	2
762.0	0	0	0	1
765.0	0	1	0	1
767.0	0	0	0	1
768.0	0	1	0	0
770.0	0	0	0	1
771.0	0	1	0	0
772.0	0	1	0	0
773.0	0	1	0	0
774.0	0	0	0	1
775.0	0	0	0	1
778.0	0	2	0	1
780.0	0	1	0	0
781.0	0	1	0	0
782.0	0	0	0	2
783.0	0	0	0	1
785.0	0	0	0	1
786.0	0	0	0	1
787.0	0	0	0	1
790.0	0	2	0	0
793.0	0	1	0	0
799.0	0	0	0	1
800.0	0	1	0	0
802.0	0	2	0	0
804.0	0	2	0	0
805.0	0	1	0	0
806.0	0	1	0	1
807.0	0	0	0	2
808.0	0	1	0	1
809.0	0	1	0	0
810.0	0	2	0	0
812.0	0	1	0	0
813.0	0	2	0	1
814.0	0	1	0	0
819.0	0	1	0	1
825.0	0	1	0	1
827.0	0	1	0	0
829.0	0	0	0	1
831.0	0	0	0	2
832.0	0	0	0	1
833.0	0	1	0	0
835.0	0	1	0	0
836.0	0	1	0	0
837.0	0	1	0	1
847.0	0	2	0	0
849.0	0	0	0	1
851.0	0	1	0	0
852.0	0	0	0	1
856.0	0	1	0	0
857.0	0	0	0	1
859.0	0	1	0	0
862.0	0	1	0	0
866.0	0	0	0	1
869.0	0	1	0	0
871.0	0	1	0	0
875.0	0	0	0	1
876.0	0	1	0	0
878.0	0	1	0	0
882.0	0	1	0	0
884.0	0	1	0	0
886.0	0	1	0	0
890.0	0	0	0	1
892.0	0	0	0	1
893.0	0	0	0	1
895.0	0	1	0	0
897.0	0	1	0	0
898.0	0	1	0	1
899.0	0	0	0	1
904.0	0	0	0	1
907.0	0	1	0	0
908.0	0	1	0	0
915.0	0	0	0	2
918.0	0	0	0	1
922.0	0	0	0	1
923.0	0	0	0	1
927.0	0	1	0	0
928.0	0	1	0	0
933.0	0	0	0	1
935.0	0	1	0	0
936.0	0	2	0	1
938.0	0	0	0	1
947.0	0	2	0	0
949.0	0	0	0	1
955.0	0	0	0	1
956.0	0	0	0	1
963.0	0	0	0	1
966.0	0	1	0	0
967.0	0	0	0	1
970.0	0	0	0	1
971.0	0	1	0	0
973.0	0	0	0	1
974.0	0	2	0	0
975.0	0	0	0	1
978.0	0	1	0	0
980.0	0	0	0	1
983.0	0	1	0	0
989.0	0	2	0	0
993.0	0	0	0	1
996.0	0	0	0	1
1000.0	0	1	0	0
1010.0	0	1	0	0
1012.0	0	0	0	1
1013.0	0	0	0	1
